"","EMY.z","EMY.p","EMY.FDR","EM.z","EM.p","MY.z","MY.p","CHEBI"
"SKP1",NA,1,1,-0.852,0.394,-1.62,0.105,NA
"ADAMTS15",NA,1,1,-1.76,0.0782,-1.62,0.105,NA
"HBEGF",NA,1,1,-0.883,0.377,-1.62,0.105,NA
"DIABLO",NA,1,1,0.84,0.401,1.62,0.106,NA
"MFGE8",NA,1,1,0.699,0.485,1.62,0.106,NA
"MATN2",NA,1,1,2.17,0.0302,1.62,0.106,NA
"PAK7",NA,1,1,-0.724,0.469,-1.61,0.107,NA
"KIF23",NA,1,1,-1.11,0.266,-1.61,0.107,NA
"TNFRSF19",NA,1,1,1.48,0.139,1.61,0.107,NA
"EEF1B2",NA,1,1,-1.01,0.311,-1.61,0.107,NA
"IL2RA",NA,1,1,-0.502,0.615,-1.61,0.107,NA
"LAG3",NA,1,1,0.889,0.374,1.61,0.108,NA
"CHEBI:28729",NA,1,1,0.968,0.333,1.61,0.108,"mannose"
"CDH2",NA,1,1,0.644,0.52,1.61,0.108,NA
"IL18R1",NA,1,1,1.41,0.16,1.61,0.108,NA
"CTSC",NA,1,1,0.695,0.487,1.6,0.11,NA
"TNFSF9",NA,1,1,0.596,0.551,1.59,0.111,NA
"PSMA1",NA,1,1,-0.998,0.318,-1.59,0.111,NA
"PRKCD",NA,1,1,-0.867,0.386,-1.59,0.112,NA
"BCL2",NA,1,1,-0.877,0.381,-1.58,0.113,NA
"PLXNC1",NA,1,1,1.11,0.266,1.58,0.114,NA
"PPIA",NA,1,1,-1.39,0.164,-1.58,0.114,NA
"PLA2G1B",NA,1,1,0.164,0.87,1.58,0.114,NA
"RPS27A",NA,1,1,-1.06,0.29,-1.58,0.115,NA
"LTF",NA,1,1,-1.08,0.28,-1.57,0.116,NA
"IL17RB",NA,1,1,1.3,0.195,1.56,0.118,NA
"TPM1",NA,1,1,0.739,0.46,1.56,0.118,NA
"CTSS",NA,1,1,1.5,0.133,1.56,0.118,NA
"ICAM3",NA,1,1,-0.991,0.322,-1.56,0.12,NA
"GDI2",NA,1,1,-1.17,0.242,-1.55,0.12,NA
"SLAMF7",NA,1,1,1.09,0.276,1.55,0.12,NA
"SPOCK2",NA,1,1,1.22,0.223,1.55,0.122,NA
"PEBP1",NA,1,1,-1.19,0.235,-1.55,0.122,NA
"DDR1",NA,1,1,0.2,0.842,1.55,0.122,NA
"CDH5",NA,1,1,0.568,0.57,1.54,0.123,NA
"JAM2",NA,1,1,-0.389,0.697,-1.54,0.123,NA
"HAT1",NA,1,1,-1.23,0.217,-1.54,0.123,NA
"KRAS",NA,1,1,1.45,0.147,1.54,0.124,NA
"CAT",NA,1,1,-1.16,0.247,-1.54,0.124,NA
"CSF3R",NA,1,1,-0.628,0.53,-1.54,0.124,NA
"SERPINE2",NA,1,1,-0.545,0.585,-1.53,0.126,NA
"EIF4A3",NA,1,1,-1.05,0.294,-1.53,0.127,NA
"IL17D",NA,1,1,-0.593,0.553,-1.53,0.127,NA
"AKR7A2",NA,1,1,-1.16,0.244,-1.52,0.127,NA
"CDC42BPB",NA,1,1,-0.641,0.521,-1.52,0.128,NA
"IL4R",NA,1,1,0.695,0.487,1.52,0.128,NA
"TF",NA,1,1,-0.772,0.44,-1.52,0.128,NA
"LDHB",NA,1,1,-1.02,0.309,-1.52,0.129,NA
"MICA",NA,1,1,0.823,0.411,1.52,0.129,NA
"DCTN2",NA,1,1,-0.867,0.386,-1.51,0.13,NA
"ICAM1",NA,1,1,1.56,0.119,1.51,0.13,NA
"MDH1",NA,1,1,-1.35,0.176,-1.51,0.13,NA
"CHEBI:16335",NA,1,1,-0.423,0.672,-1.51,0.131,"adenosine"
"HS6ST1",NA,1,1,0.277,0.782,1.51,0.131,NA
"EPHA2",NA,1,1,2.03,0.0428,1.51,0.132,NA
"HNRNPAB",NA,1,1,-1.08,0.282,-1.51,0.132,NA
"BMPR1A",NA,1,1,1.94,0.0525,1.51,0.132,NA
"XCL1",NA,1,1,-1.38,0.167,-1.51,0.132,NA
"CHEBI:68531",NA,1,1,-1.99,0.0461,-1.5,0.133,"3,7-dimethylurate"
"MMP8",NA,1,1,1.31,0.189,1.5,0.134,NA
"RASA1",NA,1,1,0.798,0.425,1.5,0.134,NA
"KLK5",NA,1,1,0.798,0.425,1.5,0.135,NA
"COTL1",NA,1,1,-0.97,0.332,-1.49,0.135,NA
"TPM2",NA,1,1,1.52,0.128,1.49,0.136,NA
"FTH1",NA,1,1,-0.951,0.342,-1.49,0.136,NA
"MET",NA,1,1,0.229,0.819,1.49,0.136,NA
"CCL13",NA,1,1,-1.22,0.222,-1.48,0.138,NA
"PAK3",NA,1,1,2,0.0455,1.47,0.14,NA
"PAFAH1B2",NA,1,1,-0.592,0.554,-1.47,0.141,NA
"IL17RD",NA,1,1,0.839,0.401,1.47,0.141,NA
"CHEBI:17561",NA,1,1,2.06,0.0396,1.47,0.141,"cysteine"
"STK17B",NA,1,1,-0.629,0.529,-1.47,0.141,NA
"CSNK2A1",NA,1,1,-0.748,0.455,-1.47,0.142,NA
"CHEBI:4828",NA,1,1,-1.54,0.122,-1.47,0.142,"ergothioneine"
"DNAJC19",NA,1,1,-1.21,0.225,-1.47,0.142,NA
"ADSL",NA,1,1,-0.478,0.633,-1.47,0.143,NA
"PDE2A",NA,1,1,-1,0.315,-1.46,0.145,NA
"MMP17",NA,1,1,-0.886,0.375,-1.46,0.145,NA
"C9",NA,1,1,-0.0679,0.946,-1.45,0.146,NA
"CA1",NA,1,1,-1.17,0.241,-1.45,0.147,NA
"CLU",NA,1,1,-1.94,0.0529,-1.45,0.148,NA
"PECAM1",NA,1,1,-1.04,0.297,-1.45,0.148,NA
"CDH15",NA,1,1,-0.214,0.83,-1.44,0.15,NA
"EIF4EBP2",NA,1,1,-0.663,0.507,-1.44,0.151,NA
"HSP90AA1",NA,1,1,-1.62,0.106,-1.44,0.151,NA
"SERPING1",NA,1,1,1.59,0.111,1.44,0.151,NA
"HMGCR",NA,1,1,0.442,0.658,1.43,0.151,NA
"TPI1",NA,1,1,-1.24,0.216,-1.43,0.153,NA
"IL6",NA,1,1,-0.862,0.389,-1.43,0.153,NA
"EPHA5",NA,1,1,-0.405,0.686,-1.42,0.155,NA
"TOP1",NA,1,1,-1.57,0.117,-1.42,0.155,NA
"POSTN",NA,1,1,2.54,0.0111,1.42,0.156,NA
"TPT1",NA,1,1,-1.31,0.189,-1.42,0.156,NA
"HMOX2",NA,1,1,-1.05,0.292,-1.42,0.156,NA
"PRDX6",NA,1,1,-1.06,0.291,-1.42,0.156,NA
"MASP1",NA,1,1,0.776,0.438,1.42,0.157,NA
"IL6ST",NA,1,1,0.931,0.352,1.41,0.157,NA
"DNAJB1",NA,1,1,-0.911,0.362,-1.4,0.161,NA
"ESR1",NA,1,1,-1.13,0.256,-1.4,0.162,NA
"CAPN1",NA,1,1,-1.5,0.133,-1.4,0.162,NA
"ACP5",NA,1,1,1.13,0.26,1.4,0.163,NA
"IGFBP7",NA,1,1,0.718,0.473,1.4,0.163,NA
"GNLY",NA,1,1,0.958,0.338,1.39,0.164,NA
"CDNF",NA,1,1,0.493,0.622,1.39,0.165,NA
"PLA2G2E",NA,1,1,0.19,0.849,1.39,0.165,NA
"NUDCD3",NA,1,1,-2.29,0.022,-1.39,0.166,NA
"LGALS3BP",NA,1,1,0.112,0.911,1.39,0.166,NA
"CLEC7A",NA,1,1,-0.489,0.625,-1.39,0.166,NA
"HSPD1",NA,1,1,-1.32,0.188,-1.38,0.166,NA
"CHEBI:16680",NA,1,1,-1.58,0.115,-1.38,0.166,"S-adenosylhomocysteine (SAH)"
"COL8A1",NA,1,1,1.2,0.232,1.38,0.167,NA
"ACE2",NA,1,1,-0.648,0.517,-1.38,0.167,NA
"STIP1",NA,1,1,-0.739,0.46,-1.38,0.167,NA
"CHEBI:47953",NA,1,1,-3.32,0.000901,-1.38,0.168,"glucuronate"
"CHEBI:18183",NA,1,1,-1.03,0.304,-1.38,0.168,"5-oxoproline"
"IL1A",NA,1,1,1.35,0.176,1.38,0.169,NA
"GAPDH",NA,1,1,-1.44,0.15,-1.38,0.169,NA
"SOD2",NA,1,1,0.16,0.873,1.37,0.169,NA
"NTF3",NA,1,1,-0.729,0.466,-1.37,0.169,NA
"PSME1",NA,1,1,-1.16,0.245,-1.37,0.17,NA
"HBA1",NA,1,1,-1.2,0.23,-1.36,0.172,NA
"CTSZ",NA,1,1,1.3,0.195,1.36,0.173,NA
"ESD",NA,1,1,-1.3,0.195,-1.36,0.174,NA
"PSMA2",NA,1,1,-0.846,0.398,-1.36,0.175,NA
"BCL2A1",NA,1,1,-0.574,0.566,-1.35,0.177,NA
"LGALS4",NA,1,1,-1.5,0.132,-1.35,0.178,NA
"DDX19B",NA,1,1,0.705,0.481,1.35,0.178,NA
"PTPN2",NA,1,1,1.8,0.0726,1.35,0.178,NA
"STAB2",NA,1,1,-0.494,0.622,-1.35,0.179,NA
"NRXN3",NA,1,1,0.785,0.432,1.34,0.179,NA
"FCN1",NA,1,1,-0.361,0.718,-1.34,0.179,NA
"SLPI",NA,1,1,1.14,0.256,1.34,0.18,NA
"ITGAV",NA,1,1,0.435,0.663,1.34,0.18,NA
"PDE7A",NA,1,1,-1.74,0.0822,-1.34,0.181,NA
"MMP9",NA,1,1,-0.839,0.402,-1.34,0.182,NA
"NOTCH3",NA,1,1,0.852,0.394,1.34,0.182,NA
"CD226",NA,1,1,-1.42,0.155,-1.33,0.182,NA
"HSD17B10",NA,1,1,-1.21,0.225,-1.33,0.184,NA
"PPP3R1",NA,1,1,-1.07,0.287,-1.33,0.184,NA
"HNRNPA2B1",NA,1,1,-1.23,0.219,-1.33,0.184,NA
"CD33",NA,1,1,1.32,0.187,1.33,0.184,NA
"FGF17",NA,1,1,0.372,0.71,1.33,0.185,NA
"CHEBI:16995",NA,1,1,-1.06,0.29,-1.32,0.187,"oxalate (ethanedioate)"
"SEZ6L2",NA,1,1,-1.19,0.233,-1.31,0.189,NA
"TBK1",NA,1,1,-1.08,0.28,-1.31,0.189,NA
"LSAMP",NA,1,1,2.27,0.0231,1.31,0.189,NA
"CCL22",NA,1,1,2.96,0.00312,1.31,0.19,NA
"UFM1",NA,1,1,-1.43,0.152,-1.31,0.19,NA
"PGLYRP1",NA,1,1,-0.816,0.414,-1.31,0.19,NA
"SPARCL1",NA,1,1,0.877,0.38,1.3,0.192,NA
"HRG",NA,1,1,0.0452,0.964,1.3,0.192,NA
"PA2G4",NA,1,1,-1.16,0.246,-1.3,0.192,NA
"RAC1",NA,1,1,-1.16,0.246,-1.3,0.193,NA
"TACSTD2",NA,1,1,-1.03,0.302,-1.3,0.193,NA
"ACVRL1",NA,1,1,-0.703,0.482,-1.29,0.196,NA
"CHEBI:32636",NA,1,1,-0.968,0.333,-1.29,0.197,"4-acetamidophenylglucuronide"
"TDGF1",NA,1,1,-0.218,0.828,-1.28,0.199,NA
"NCAM1",NA,1,1,0.835,0.404,1.28,0.2,NA
"IL13",NA,1,1,-1.2,0.232,-1.28,0.201,NA
"RPS3",NA,1,1,-1.32,0.187,-1.28,0.201,NA
"IL34",NA,1,1,1.2,0.231,1.28,0.202,NA
"PDIA3",NA,1,1,-0.629,0.529,-1.27,0.203,NA
"DYRK3",NA,1,1,-0.369,0.712,-1.26,0.206,NA
"IL20RA",NA,1,1,-1.57,0.116,-1.26,0.207,NA
"KLK12",NA,1,1,1.29,0.197,1.26,0.208,NA
"NME2",NA,1,1,-1.28,0.201,-1.26,0.209,NA
"C4A",NA,1,1,0.631,0.528,1.25,0.21,NA
"CCL11",NA,1,1,0.96,0.337,1.25,0.211,NA
"PRSS22",NA,1,1,1.11,0.267,1.25,0.212,NA
"LY86",NA,1,1,-0.731,0.465,-1.24,0.216,NA
"IL17RC",NA,1,1,0.823,0.41,1.23,0.218,NA
"UCHL1",NA,1,1,-0.795,0.427,-1.23,0.219,NA
"GPI",NA,1,1,-1.95,0.0508,-1.23,0.219,NA
"A2M",NA,1,1,1.38,0.168,1.23,0.22,NA
"VTA1",NA,1,1,-0.976,0.329,-1.23,0.22,NA
"PDE3A",NA,1,1,-0.578,0.563,-1.23,0.221,NA
"LCMT1",NA,1,1,-0.498,0.618,-1.22,0.221,NA
"ICOSLG",NA,1,1,-1.34,0.181,-1.22,0.221,NA
"PPIE",NA,1,1,-1.6,0.109,-1.22,0.222,NA
"OLR1",NA,1,1,-0.423,0.672,-1.22,0.222,NA
"TNFRSF13B",NA,1,1,-0.586,0.558,-1.22,0.222,NA
"BPI",NA,1,1,-1.63,0.102,-1.22,0.224,NA
"LBP",NA,1,1,0.14,0.889,1.21,0.225,NA
"DCN",NA,1,1,-1.09,0.276,-1.21,0.225,NA
"IL6R",NA,1,1,0.935,0.35,1.21,0.225,NA
"CTSG",NA,1,1,-0.716,0.474,-1.2,0.23,NA
"PGD",NA,1,1,-1.07,0.283,-1.2,0.231,NA
"ERBB4",NA,1,1,0.639,0.523,1.2,0.231,NA
"CHEBI:17596",NA,1,1,-0.166,0.868,-1.2,0.232,"inosine"
"IL23R",NA,1,1,-0.548,0.584,-1.2,0.232,NA
"LRIG3",NA,1,1,0.468,0.64,1.19,0.233,NA
"SHC1",NA,1,1,-1.01,0.313,-1.19,0.234,NA
"LRPAP1",NA,1,1,-0.645,0.519,-1.18,0.236,NA
"MDM2",NA,1,1,-1.17,0.242,-1.18,0.237,NA
"RGMB",NA,1,1,0.991,0.322,1.18,0.237,NA
"TIE1",NA,1,1,1.09,0.276,1.18,0.239,NA
"WFIKKN1",NA,1,1,0.935,0.35,1.18,0.239,NA
"MIA",NA,1,1,0.855,0.393,1.18,0.239,NA
"EFNA4",NA,1,1,1.14,0.256,1.17,0.241,NA
"GDF9",NA,1,1,-0.311,0.756,-1.17,0.243,NA
"TNC",NA,1,1,1.97,0.0492,1.17,0.243,NA
"DKK3",NA,1,1,2.12,0.0344,1.16,0.244,NA
"THBS2",NA,1,1,1.57,0.117,1.16,0.245,NA
"CHEBI:15927",NA,1,1,0.281,0.779,1.16,0.245,"nicotinamide riboside"
"COL23A1",NA,1,1,-1.21,0.228,-1.16,0.245,NA
"CHEBI:32398",NA,1,1,-1.6,0.111,-1.16,0.245,"glycerate"
"KLK14",NA,1,1,-0.625,0.532,-1.16,0.245,NA
"METAP2",NA,1,1,-1.04,0.297,-1.16,0.247,NA
"MAPK1",NA,1,1,-1.07,0.286,-1.16,0.247,NA
"DDC",NA,1,1,-1.92,0.0549,-1.16,0.248,NA
"CHEBI:16467",NA,1,1,1.05,0.294,1.16,0.248,"arginine"
"SPOCK1",NA,1,1,-0.941,0.347,-1.15,0.249,NA
"HP",NA,1,1,1.09,0.278,1.15,0.249,NA
"CD109",NA,1,1,0.464,0.643,1.15,0.249,NA
"SERPINA6",NA,1,1,-0.432,0.666,-1.15,0.251,NA
"ULBP1",NA,1,1,0.189,0.85,1.15,0.251,NA
"PIM1",NA,1,1,0.774,0.439,1.15,0.251,NA
"CD86",NA,1,1,0.404,0.686,1.15,0.251,NA
"SIGLEC9",NA,1,1,0.794,0.427,1.14,0.254,NA
"CHEBI:21347",NA,1,1,-1.99,0.0469,-1.14,0.254,"lanthionine"
"FABP3",NA,1,1,0.742,0.458,1.14,0.254,NA
"FAM107A",NA,1,1,0.476,0.634,1.14,0.255,NA
"LILRB2",NA,1,1,1.38,0.167,1.14,0.255,NA
"CCL3L1",NA,1,1,0.545,0.586,1.13,0.257,NA
"INSR",NA,1,1,1.92,0.0553,1.13,0.258,NA
"EPB41",NA,1,1,-0.899,0.369,-1.12,0.265,NA
"EDAR",NA,1,1,-1.06,0.29,-1.11,0.266,NA
"PGK1",NA,1,1,-1.52,0.128,-1.11,0.267,NA
"C8A",NA,1,1,1.4,0.161,1.11,0.267,NA
"CCL1",NA,1,1,1.21,0.226,1.11,0.268,NA
"KPNA2",NA,1,1,0.0604,0.952,1.1,0.27,NA
"VWF",NA,1,1,0.792,0.428,1.1,0.27,NA
"CHEBI:17154",NA,1,1,-0.882,0.378,-1.1,0.271,"nicotinamide"
"SPARC",NA,1,1,-1.34,0.179,-1.1,0.272,NA
"CHEBI:28834",NA,1,1,-0.969,0.332,-1.1,0.273,"deoxycholate"
"CHEBI:27468",NA,1,1,0.291,0.771,1.1,0.273,"5,6-dihydrothymine"
"AGR2",NA,1,1,-0.405,0.685,-1.09,0.275,NA
"GOT1",NA,1,1,2.35,0.0185,1.09,0.277,NA
"BGN",NA,1,1,-0.593,0.553,-1.09,0.277,NA
"THBS1",NA,1,1,-1.29,0.198,-1.08,0.278,NA
"LEPR",NA,1,1,1.68,0.0924,1.08,0.28,NA
"FLT3",NA,1,1,-0.964,0.335,-1.08,0.281,NA
"F11",NA,1,1,0.236,0.813,1.08,0.281,NA
"PIK3CA",NA,1,1,-1.89,0.0593,-1.08,0.281,NA
"CFP",NA,1,1,-1.29,0.197,-1.08,0.282,NA
"NACA",NA,1,1,-0.411,0.681,-1.07,0.283,NA
"PF4",NA,1,1,-1.6,0.11,-1.07,0.284,NA
"DKKL1",NA,1,1,-1.2,0.23,-1.07,0.285,NA
"CHEBI:16070",NA,1,1,-1.41,0.157,-1.07,0.285,"1,5-anhydroglucitol (1,5-AG)"
"MMEL1",NA,1,1,-0.876,0.381,-1.07,0.287,NA
"IL2",NA,1,1,0.0335,0.973,1.07,0.287,NA
"CCL7",NA,1,1,0.422,0.673,1.06,0.287,NA
"TGM3",NA,1,1,-0.0568,0.955,-1.06,0.288,NA
"CYP3A4",NA,1,1,-1.29,0.197,-1.06,0.288,NA
"IDUA",NA,1,1,0.977,0.329,1.06,0.288,NA
"UFC1",NA,1,1,-1.51,0.131,-1.06,0.288,NA
"UBE2I",NA,1,1,-1.12,0.264,-1.06,0.291,NA
"PDE9A",NA,1,1,1.25,0.21,1.06,0.291,NA
"CHEBI:17650",NA,1,1,-0.29,0.772,-1.05,0.292,"cortisol"
"CHEBI:28747",NA,1,1,-2.43,0.0152,-1.05,0.293,"picolinate"
"EPHA1",NA,1,1,-0.195,0.846,-1.05,0.293,NA
"FGF12",NA,1,1,-1.41,0.159,-1.05,0.294,NA
"CHEBI:41721",NA,1,1,-1.89,0.059,-1.05,0.295,"cysteine sulfinic acid"
"CLEC1B",NA,1,1,-0.953,0.341,-1.05,0.296,NA
"CHEBI:32635",NA,1,1,-0.484,0.628,-1.05,0.296,"4-acetaminophen sulfate"
"ERBB2",NA,1,1,0.543,0.587,1.04,0.297,NA
"CDON",NA,1,1,0.914,0.361,1.04,0.297,NA
"CHEBI:17752",NA,1,1,-1.38,0.167,-1.04,0.299,"N6-acetyllysine"
"MMP3",NA,1,1,-0.717,0.473,-1.04,0.299,NA
"SMPDL3A",NA,1,1,-0.996,0.319,-1.03,0.302,NA
"SCARF2",NA,1,1,0.16,0.873,1.03,0.302,NA
"GFAP",NA,1,1,0.494,0.622,1.03,0.303,NA
"IL17A",NA,1,1,1.22,0.224,1.03,0.303,NA
"DDR2",NA,1,1,1.89,0.0582,1.03,0.304,NA
"KLK6",NA,1,1,0.699,0.485,1.03,0.304,NA
"IL12RB1",NA,1,1,0.525,0.6,1.03,0.305,NA
"IL3RA",NA,1,1,-1.45,0.146,-1.03,0.305,NA
"BSG",NA,1,1,-1.16,0.246,-1.02,0.308,NA
"RBM39",NA,1,1,-1.5,0.132,-1.02,0.309,NA
"FGF23",NA,1,1,0.613,0.54,1.02,0.309,NA
"CXCL10",NA,1,1,0.205,0.837,1.01,0.311,NA
"SIGLEC7",NA,1,1,0.911,0.362,1.01,0.312,NA
"CHEBI:17645",NA,1,1,-0.315,0.752,-1.01,0.312,"4-acetamidobutanoate"
"PRKCG",NA,1,1,-0.295,0.768,-1,0.315,NA
"CHEBI:18332",NA,1,1,-1.85,0.0644,-1,0.316,"thyroxine"
"CD48",NA,1,1,2.15,0.0315,0.998,0.318,NA
"ABL1",NA,1,1,-1.71,0.0864,-0.99,0.322,NA
"AIF1",NA,1,1,-0.502,0.616,-0.988,0.323,NA
"HIBADH",NA,1,1,0.664,0.507,0.986,0.324,NA
"IL10",NA,1,1,0.812,0.417,0.984,0.325,NA
"CAMK1",NA,1,1,0.569,0.57,0.982,0.326,NA
"FCGR1A",NA,1,1,-1.25,0.212,-0.979,0.327,NA
"UNC5C",NA,1,1,1.72,0.0863,0.978,0.328,NA
"MSR1",NA,1,1,-0.608,0.543,-0.976,0.329,NA
"CD200",NA,1,1,0.466,0.641,0.976,0.329,NA
"AMH",NA,1,1,1.8,0.0712,0.975,0.329,NA
"CDC37",NA,1,1,-1.17,0.242,-0.973,0.331,NA
"CHEBI:17053",NA,1,1,-1.25,0.21,-0.969,0.333,"aspartate"
"F3",NA,1,1,1.06,0.291,0.966,0.334,NA
"NOTCH1",NA,1,1,0.539,0.59,0.962,0.336,NA
"CHEBI:18101",NA,1,1,0.821,0.412,0.962,0.336,"4-hydroxyphenylacetate"
"NCR1",NA,1,1,1.87,0.0612,0.953,0.341,NA
"TNFSF15",NA,1,1,-0.0636,0.949,-0.952,0.341,NA
"H2AFZ",NA,1,1,0.511,0.609,0.952,0.341,NA
"EPHB2",NA,1,1,1.79,0.0731,0.948,0.343,NA
"ADAMTS13",NA,1,1,1.04,0.298,0.948,0.343,NA
"CHEBI:17929",NA,1,1,-0.205,0.838,-0.948,0.343,"dimethylarginine (SDMA + ADMA)"
"SEMA6A",NA,1,1,0.67,0.503,0.945,0.345,NA
"CHEBI:81014",NA,1,1,-0.565,0.572,-0.941,0.347,"3-hydroxy-5-cholestenoic acid"
"LGMN",NA,1,1,-0.265,0.791,-0.939,0.348,NA
"CTSB",NA,1,1,0.614,0.539,0.939,0.348,NA
"CHEBI:70984",NA,1,1,-1.74,0.0816,-0.939,0.348,"isovalerylglycine"
"MB",NA,1,1,1.32,0.187,0.935,0.35,NA
"EDA",NA,1,1,1.46,0.144,0.933,0.351,NA
"PDE4D",NA,1,1,0.924,0.355,0.931,0.352,NA
"PTK2",NA,1,1,0.206,0.837,0.931,0.352,NA
"BCAN",NA,1,1,-0.3,0.764,-0.931,0.352,NA
"CST7",NA,1,1,-0.311,0.756,-0.929,0.353,NA
"FCN2",NA,1,1,-1.29,0.198,-0.929,0.353,NA
"CMPK1",NA,1,1,-0.26,0.795,-0.929,0.353,NA
"JAK2",NA,1,1,0.409,0.683,0.921,0.357,NA
"PTPN6",NA,1,1,-0.793,0.428,-0.911,0.362,NA
"WIF1",NA,1,1,2.06,0.0393,0.911,0.362,NA
"CCL8",NA,1,1,1.21,0.225,0.898,0.369,NA
"HINT1",NA,1,1,-0.703,0.482,-0.898,0.369,NA
"IL1RL1",NA,1,1,0.508,0.611,0.898,0.369,NA
"IL17F",NA,1,1,0.188,0.851,0.896,0.37,NA
"TNFRSF21",NA,1,1,1.54,0.123,0.896,0.37,NA
"MAPK3",NA,1,1,-1.28,0.199,-0.895,0.371,NA
"CCL5",NA,1,1,-1.58,0.114,-0.894,0.371,NA
"KRT18",NA,1,1,-0.561,0.575,-0.888,0.374,NA
"CDH6",NA,1,1,-1.09,0.274,-0.886,0.375,NA
"CA13",NA,1,1,-1.08,0.28,-0.886,0.376,NA
"DPT",NA,1,1,1.28,0.201,0.883,0.377,NA
"CDKN1B",NA,1,1,-1.29,0.199,-0.882,0.378,NA
"PPBP",NA,1,1,-1.2,0.228,-0.876,0.381,NA
"BDNF",NA,1,1,-1.76,0.0779,-0.87,0.384,NA
"IL24",NA,1,1,-1.26,0.207,-0.87,0.385,NA
"DYNLL1",NA,1,1,-0.0359,0.971,-0.866,0.386,NA
"CHEBI:27510",NA,1,1,-1.25,0.21,-0.863,0.388,"4-hydroxycoumarin"
"MAP2K2",NA,1,1,0.00727,0.994,0.854,0.393,NA
"PRSS2",NA,1,1,2.59,0.00958,0.853,0.394,NA
"PDE11A",NA,1,1,-0.496,0.62,-0.852,0.394,NA
"CD55",NA,1,1,0.748,0.455,0.851,0.395,NA
"MAPK12",NA,1,1,-0.866,0.387,-0.851,0.395,NA
"CHST15",NA,1,1,1.67,0.0946,0.849,0.396,NA
"HPGD",NA,1,1,-0.97,0.332,-0.848,0.396,NA
"CHEBI:18135",NA,1,1,-0.993,0.321,-0.847,0.397,"catechol sulfate"
"AGT",NA,1,1,0.387,0.699,0.847,0.397,NA
"PLG",NA,1,1,-1.67,0.0946,-0.846,0.398,NA
"CHEBI:15891",NA,1,1,-1.45,0.147,-0.846,0.398,"taurine"
"GSK3A",NA,1,1,-1.12,0.264,-0.844,0.399,NA
"MFRP",NA,1,1,-1.04,0.299,-0.844,0.399,NA
"CHEBI:15799",NA,1,1,1.36,0.173,0.843,0.399,"1-palmitoyl-GPA (16:0)"
"PDGFA",NA,1,1,-1.48,0.14,-0.841,0.401,NA
"GZMA",NA,1,1,2.34,0.0195,0.84,0.401,NA
"NGF",NA,1,1,0.0839,0.933,0.838,0.402,NA
"PLAUR",NA,1,1,1.99,0.047,0.835,0.404,NA
"MST1R",NA,1,1,0.819,0.413,0.827,0.408,NA
"CFB",NA,1,1,-0.439,0.661,-0.82,0.412,NA
"NRXN1",NA,1,1,1.35,0.177,0.818,0.414,NA
"RAD51",NA,1,1,1.66,0.0972,0.818,0.414,NA
"CNTN1",NA,1,1,-0.182,0.856,-0.816,0.415,NA
"NID1",NA,1,1,0.509,0.611,0.813,0.416,NA
"MEPE",NA,1,1,-0.684,0.494,-0.812,0.417,NA
"SLITRK5",NA,1,1,0.895,0.371,0.812,0.417,NA
"ALB",NA,1,1,0.473,0.636,0.81,0.418,NA
"MAPK11",NA,1,1,0.647,0.517,0.81,0.418,NA
"CHEBI:37098",NA,1,1,-0.206,0.836,-0.807,0.42,"3-hydroxyoctanoate"
"NMT1",NA,1,1,-0.98,0.327,-0.802,0.422,NA
"BIRC3",NA,1,1,0.522,0.602,0.802,0.423,NA
"CXCL12",NA,1,1,2.66,0.00772,0.8,0.424,NA
"IL18BP",NA,1,1,1.78,0.0746,0.799,0.424,NA
"CSNK2A2",NA,1,1,-0.62,0.535,-0.793,0.428,NA
"KLK7",NA,1,1,0.0477,0.962,0.789,0.43,NA
"PDGFB",NA,1,1,-1.43,0.152,-0.789,0.43,NA
"CHEBI:7916",NA,1,1,2.38,0.0174,0.782,0.434,"pantothenate"
"CPE",NA,1,1,2.01,0.0448,0.779,0.436,NA
"SYNCRIP",NA,1,1,-0.788,0.431,-0.771,0.441,NA
"MAPK9",NA,1,1,1.11,0.269,0.77,0.442,NA
"SERPINA7",NA,1,1,-0.389,0.697,-0.769,0.442,NA
"TNFSF8",NA,1,1,1.04,0.299,0.766,0.444,NA
"CSF1R",NA,1,1,1.71,0.0864,0.763,0.445,NA
"EFNA5",NA,1,1,1.36,0.175,0.755,0.45,NA
"C5",NA,1,1,-1.59,0.111,-0.753,0.452,NA
"CHEBI:72998",NA,1,1,0.996,0.319,0.751,0.453,"1-palmitoyl-GPC (16:0)"
"GPT",NA,1,1,-0.391,0.696,-0.751,0.453,NA
"DAPK2",NA,1,1,-0.0283,0.977,-0.749,0.454,NA
"SBDS",NA,1,1,-1.01,0.31,-0.746,0.456,NA
"CHST6",NA,1,1,1.64,0.102,0.746,0.456,NA
"CHEBI:70824",NA,1,1,-2.64,0.00832,-0.742,0.458,"3-hydroxyhippurate"
"POMC",NA,1,1,0.075,0.94,0.738,0.461,NA
"CALR",NA,1,1,0.405,0.685,0.733,0.464,NA
"CHEBI:30887",NA,1,1,-0.632,0.527,-0.732,0.464,"isocitrate"
"OLFM4",NA,1,1,0.799,0.424,0.731,0.465,NA
"TNFRSF17",NA,1,1,2.04,0.0409,0.729,0.466,NA
"NR3C1",NA,1,1,-0.807,0.42,-0.728,0.467,NA
"CHEBI:18300",NA,1,1,0.928,0.354,0.722,0.47,"maleate"
